squadra,riposa,capitano,riserva,titolare 1,titolare 2
Green House,,Bango Skank,Bango Skank,Joyopi,Plata
La threesome,(riposa),mina99,,,
I Bananari,,simone volponi,massimopud,Niko,simone volponi
Armata Brancaleone,,AdStr,Skorpiòs,Ella F.,AdStr
Living Stones,,Macleo,Vincenzo Iennaco,Macleo,Ljuset
Retroguardia Trash,,Andrea28,AlexComan,Eudes,Andrea28
Le TreMende,,Emy,sefora,Emy,Thea
Gli scrittori del quartierino,,Marty12,Federico72,camparino,Marty12
the 3 BrOthers,,AryaSophia,ettore70,ITG,AryaSophia
D Euforiche,,Kuno,Marcello,Kuno,queffe
Gli ultimi,,crazycat,Ghigo,crazycat,caipiroska
