squadra,avversario,elo avversario,elo precedente,goal fatti,goal subiti,partita,punteggio atteso,punteggio reale,scostamento squadra
D Euforiche,Green House,1541.3333333333333,1531.0,12,12,F1,0.4851335211637576,0.5,0.014866478836242425
I Bananari,Gli ultimi,1519.25,1525.3333333333333,9,14,F2,0.5087537258704373,0.391304347826087,-0.11744937804435035
Green House,D Euforiche,1531.0,1541.3333333333333,12,12,F1,0.5148664788362424,0.5,-0.01486647883624237
Gli ultimi,I Bananari,1525.3333333333333,1519.25,14,9,F2,0.4912462741295628,0.6086956521739131,0.1174493780443503
Armata Brancaleone,-,1489.0,1489.0,0,0,non qualificate,0.5,0.5,0.0
Gli scrittori del quartierino,-,1483.3333333333333,1483.3333333333333,0,0,non qualificate,0.5,0.5,0.0
La threesome,-,1477.6666666666667,1477.6666666666667,0,0,non qualificate,0.5,0.5,0.0
Le TreMende,-,1481.0,1481.0,0,0,non qualificate,0.5,0.5,0.0
Living Stones,-,1502.0,1502.0,0,0,non qualificate,0.5,0.5,0.0
Retroguardia Trash,-,1494.0,1494.0,0,0,non qualificate,0.5,0.5,0.0
the 3 BrOthers,-,1482.25,1482.25,0,0,non qualificate,0.5,0.5,0.0
