squadra,avversario,elo avversario,elo precedente,goal fatti,goal subiti,partita,punteggio atteso,punteggio reale,scostamento squadra
D Euforiche,Gli scrittori del quartierino,1479.6666666666667,1526.0,18,10,Q1,0.566286536985458,0.6428571428571429,0.07657060587168485
I Bananari,Le TreMende,1493.6666666666667,1505.3333333333333,22,6,Q2,0.5167833752790506,0.7857142857142857,0.2689309104352351
Green House,Living Stones,1507.6666666666667,1535.6666666666667,17,11,Q3,0.5402082283237456,0.6071428571428571,0.0669346288191115
Armata Brancaleone,Gli ultimi,1506.25,1504.6666666666667,9,19,Q4,0.4977214159422997,0.32142857142857145,-0.17629284451372823
Gli scrittori del quartierino,D Euforiche,1526.0,1479.6666666666667,10,18,Q1,0.43371346301454194,0.35714285714285715,-0.0765706058716848
Le TreMende,I Bananari,1505.3333333333333,1493.6666666666667,6,22,Q2,0.4832166247209494,0.21428571428571427,-0.2689309104352351
Living Stones,Green House,1535.6666666666667,1507.6666666666667,11,17,Q3,0.45979177167625435,0.39285714285714285,-0.0669346288191115
Gli ultimi,Armata Brancaleone,1504.6666666666667,1506.25,19,9,Q4,0.5022785840577003,0.6785714285714286,0.1762928445137283
La threesome,-,1477.6666666666667,1477.6666666666667,0,0,non qualificate,0.5,0.5,0.0
Retroguardia Trash,-,1494.0,1494.0,0,0,non qualificate,0.5,0.5,0.0
the 3 BrOthers,-,1482.25,1482.25,0,0,non qualificate,0.5,0.5,0.0
